Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
2,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
3,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
4,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
5,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
6,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
7,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
8,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
9,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
10,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
11,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
12,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
13,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
14,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
15,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
16,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
17,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
18,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
19,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
20,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
21,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
22,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
23,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
24,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
25,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
26,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
27,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
28,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
29,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
30,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
31,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
32,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
33,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
34,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
35,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
36,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
37,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
38,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
39,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
40,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
41,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
42,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
43,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
44,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
45,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
46,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
47,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
48,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
49,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
50,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
51,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
52,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
53,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
54,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
55,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
56,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
57,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
58,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
59,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
60,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
