Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
2,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
3,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
4,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
5,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
6,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
7,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
8,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
9,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
10,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
11,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
12,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
13,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
14,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
15,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
16,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
17,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
18,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
19,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
20,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
21,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
22,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
23,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
24,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
25,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
26,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
27,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
28,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
29,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
30,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
31,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
32,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
33,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
34,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
35,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
36,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
37,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
38,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
39,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
40,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
41,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
42,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
43,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
44,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
45,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
46,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
47,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
48,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
49,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
50,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
51,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
52,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
53,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
54,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
55,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
56,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
57,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
58,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
59,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
60,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
61,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
62,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
63,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
64,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
65,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
66,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
67,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
