Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
2,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
3,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
4,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
5,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
6,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
7,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
8,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
9,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
10,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
11,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
12,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
13,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
14,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
15,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
16,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
17,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
18,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
19,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
20,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
21,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
22,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
23,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
24,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
25,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
26,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
27,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
28,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
29,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
30,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
31,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
32,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
33,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
34,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
35,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
36,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
37,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
38,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
39,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
40,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
41,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
42,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
43,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
44,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
45,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
46,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
47,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
48,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
49,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
50,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
