Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
2,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
3,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
4,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
5,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
6,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
7,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
8,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
9,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
10,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
11,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
12,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
13,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
14,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
15,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
16,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
17,Falha,1,4,6,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
18,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
19,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
20,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
21,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
22,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
23,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
24,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
25,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
26,Falha,1,4,6,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
27,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
28,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
29,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
30,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
31,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
32,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
33,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
34,Falha,1,4,6,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
35,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
36,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
37,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
38,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
39,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
40,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
41,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
42,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
43,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
44,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
45,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
46,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
47,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
48,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
49,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
50,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
51,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
52,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
53,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
54,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
55,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
56,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
57,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
58,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
59,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
60,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
61,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
62,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
63,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
64,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
65,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
66,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
67,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
68,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
69,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
70,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
71,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
72,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
73,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
74,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
75,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
76,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
77,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
78,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
79,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
80,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
81,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
82,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
83,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
84,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
85,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
86,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
87,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
88,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
89,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
90,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
91,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
92,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
93,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
94,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
95,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
96,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
97,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
98,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
99,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
100,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
101,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
102,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
103,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
104,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
105,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
106,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
