Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
2,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
3,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
4,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
5,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
6,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
7,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
8,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
9,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
10,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
11,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
12,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
13,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
14,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
15,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
16,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
17,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
18,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
19,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
20,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
21,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
22,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
23,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
24,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
25,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
26,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
27,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
28,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
29,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
30,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
31,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
32,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
33,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
34,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
35,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
36,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
37,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
38,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
39,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
40,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
41,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
42,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
43,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
44,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
45,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
46,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
47,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
48,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
49,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
50,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
51,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
52,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
53,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
54,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
55,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
56,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
57,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
58,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
59,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
