Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
2,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
3,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
4,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
5,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
6,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
7,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
8,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
9,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
10,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
11,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
12,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
13,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
14,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
15,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
16,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
17,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
18,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
19,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
20,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
21,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
22,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
23,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
24,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
25,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
26,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
27,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
28,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
29,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
30,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
31,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
32,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
33,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
34,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
35,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
36,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
37,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
38,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
39,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
40,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
41,Falha,1,2,2,"{""media"": 0.7352941176470588}",Nenhum
