Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
2,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
3,Falha,1,3,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
4,Falha,1,3,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
5,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
6,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
7,Falha,1,3,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
8,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
9,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
10,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
11,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
12,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
13,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
14,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
15,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
16,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
17,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
18,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
19,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
20,Falha,1,3,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
21,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
22,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
23,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
24,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
25,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
26,Falha,1,3,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
27,Falha,1,3,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
28,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
29,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
30,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
31,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
32,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
33,Falha,2,3,4,"{""media"": 0.744765702891326}",Nenhum
34,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
