Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Falha,1,0,4,"{""media"": 0.7352941176470588}"
3,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
4,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
5,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
6,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
7,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
8,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
11,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
12,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
15,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
16,Falha,8,0,16,"{""media"": 0.7382530827734155}"
17,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
18,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
19,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
20,Falha,1,0,4,"{""media"": 0.7352941176470588}"
21,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
22,Falha,1,0,4,"{""media"": 0.7352941176470588}"
23,Falha,6,0,14,"{""media"": 0.7419915705628263}"
24,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
25,Falha,4,0,10,"{""media"": 0.7441996812489833}"
26,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
27,Falha,3,0,8,"{""media"": 0.7435883094381097}"
28,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
29,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
30,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
31,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
32,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
33,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
34,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
35,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
36,Falha,2,0,6,"{""media"": 0.7409945164506481}"
37,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
38,Falha,1,0,4,"{""media"": 0.7352941176470588}"
39,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
40,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
41,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
42,Falha,4,0,8,"{""media"": 0.7460836049779772}"
43,Falha,1,0,4,"{""media"": 0.7352941176470588}"
44,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
45,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
46,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
47,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
48,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
49,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
50,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
51,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
52,Falha,2,0,6,"{""media"": 0.7409945164506481}"
53,Falha,2,0,6,"{""media"": 0.7409945164506481}"
54,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
55,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
56,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
57,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
58,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
59,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
60,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
61,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
62,Falha,1,0,4,"{""media"": 0.7352941176470588}"
63,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
64,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
65,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
66,Falha,6,0,12,"{""media"": 0.743227817370331}"
67,Falha,1,0,4,"{""media"": 0.7352941176470588}"
68,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
69,Falha,1,0,4,"{""media"": 0.7352941176470588}"
70,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
71,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
72,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
73,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
74,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
75,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
76,Falha,2,0,4,"{""media"": 0.8859273066169617}"
77,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
78,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
79,Falha,1,0,4,"{""media"": 0.8448275862068965}"
80,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
81,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
82,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
83,Sucesso,2,0,4,"{""media"": 0.744765702891326}"
84,Falha,1,0,4,"{""media"": 0.8448275862068965}"
85,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
86,Falha,4,0,10,"{""media"": 0.7441996812489833}"
87,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
88,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
