Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
4,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
10,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
11,Falha,1,0,4,"{""media"": 0.8448275862068965}"
12,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
17,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
18,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
19,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
21,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
22,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
23,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
24,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
25,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
26,Falha,1,0,4,"{""media"": 0.8448275862068965}"
28,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
29,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
30,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
31,Falha,1,0,4,"{""media"": 0.8448275862068965}"
34,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
35,Falha,1,0,4,"{""media"": 0.8448275862068965}"
36,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
37,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
38,Falha,1,0,4,"{""media"": 0.8448275862068965}"
39,Falha,1,0,4,"{""media"": 0.8448275862068965}"
41,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
42,Falha,1,0,4,"{""media"": 0.8448275862068965}"
43,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
44,Falha,1,0,4,"{""media"": 0.8448275862068965}"
46,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
48,Falha,1,0,4,"{""media"": 0.8448275862068965}"
50,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
51,Falha,1,0,4,"{""media"": 0.8448275862068965}"
52,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
53,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
54,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
55,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
57,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
58,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
60,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
61,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
62,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
64,Falha,1,0,4,"{""media"": 0.8448275862068965}"
65,Falha,2,0,4,"{""media"": 0.8859273066169617}"
66,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
67,Falha,1,0,4,"{""media"": 0.8448275862068965}"
68,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
70,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
71,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
73,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
74,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
75,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
78,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
79,Falha,2,0,4,"{""media"": 0.8859273066169617}"
81,Falha,2,0,4,"{""media"": 0.8859273066169617}"
82,Falha,1,0,4,"{""media"": 0.8448275862068965}"
83,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
85,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
86,Falha,1,0,4,"{""media"": 0.8448275862068965}"
88,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
89,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
90,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
91,Falha,2,0,4,"{""media"": 0.8859273066169617}"
92,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
93,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
94,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
96,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
97,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
98,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
99,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
100,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
101,Falha,2,0,4,"{""media"": 0.8859273066169617}"
102,Falha,2,0,4,"{""media"": 0.8859273066169617}"
105,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
106,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
108,Falha,2,0,4,"{""media"": 0.8859273066169617}"
109,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
112,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
113,Falha,1,0,4,"{""media"": 0.8448275862068965}"
116,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
117,Falha,1,0,4,"{""media"": 0.8448275862068965}"
118,Falha,1,0,4,"{""media"": 0.8448275862068965}"
119,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
120,Falha,2,0,4,"{""media"": 0.8859273066169617}"
121,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
122,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
123,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
124,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
126,Falha,1,0,4,"{""media"": 0.8448275862068965}"
127,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
128,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
129,Falha,1,0,4,"{""media"": 0.8448275862068965}"
130,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
133,Falha,1,0,4,"{""media"": 0.8448275862068965}"
135,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
138,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
139,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
140,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
141,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
142,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
143,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
144,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
