Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
2,Falha,0,0,4,"{""media"": 0.8448275862068965}"
3,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
4,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
6,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
8,Falha,1,0,6,"{""media"": 0.8448275862068965}"
9,Falha,0,0,4,"{""media"": 0.8448275862068965}"
10,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
11,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
13,Falha,0,0,4,"{""media"": 0.8448275862068965}"
15,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
16,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
17,Falha,0,0,4,"{""media"": 0.8448275862068965}"
18,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
20,Falha,1,0,6,"{""media"": 0.8448275862068965}"
21,Falha,1,0,6,"{""media"": 0.8448275862068965}"
22,Falha,0,0,4,"{""media"": 0.8448275862068965}"
24,Falha,0,0,4,"{""media"": 0.8448275862068965}"
25,Falha,0,0,4,"{""media"": 0.8448275862068965}"
26,Falha,1,0,6,"{""media"": 0.8448275862068965}"
28,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
29,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
30,Falha,1,0,6,"{""media"": 0.8448275862068965}"
31,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
32,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
33,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
35,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
37,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
38,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
39,Falha,0,0,4,"{""media"": 0.8448275862068965}"
40,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
42,Falha,1,0,6,"{""media"": 0.8448275862068965}"
43,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
45,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
47,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
50,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
51,Falha,0,0,4,"{""media"": 0.8448275862068965}"
52,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
56,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
57,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
58,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
60,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
61,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
62,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
64,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
65,Falha,0,0,4,"{""media"": 0.8448275862068965}"
66,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
67,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
68,Falha,1,0,6,"{""media"": 0.8448275862068965}"
70,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
72,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
73,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
74,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
75,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
76,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
77,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
78,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
79,Falha,0,0,4,"{""media"": 0.8448275862068965}"
81,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
83,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
84,Falha,0,0,4,"{""media"": 0.8448275862068965}"
87,Falha,0,0,4,"{""media"": 0.8448275862068965}"
88,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
90,Falha,0,0,4,"{""media"": 0.8448275862068965}"
92,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
93,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
94,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
96,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
98,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
100,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
101,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
102,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
103,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
104,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
105,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
106,Falha,0,0,4,"{""media"": 0.8448275862068965}"
107,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
109,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
110,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
111,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
112,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
113,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
115,Falha,0,0,4,"{""media"": 0.8448275862068965}"
116,Falha,0,0,4,"{""media"": 0.8448275862068965}"
117,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
118,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
119,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
120,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
122,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
124,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
125,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
126,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
127,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
128,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
129,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
130,Falha,0,0,4,"{""media"": 0.8448275862068965}"
133,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
134,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
135,Falha,0,0,4,"{""media"": 0.8448275862068965}"
