Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
7,Falha,0,0,4,"{""media"": 0.7352941176470588}"
12,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Sucesso,3,0,14,"{""media"": 0.7537491127668996}"
26,Falha,0,6,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
34,Falha,0,54,4,"{""media"": 0.7352941176470588}"
38,Sucesso,2,0,6,"{""media"": 0.7479196556671447}"
42,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
56,Falha,0,54,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
58,Falha,0,0,6,"{""media"": 0.7352941176470588}"
59,Sucesso,2,0,6,"{""media"": 0.7479196556671447}"
60,Falha,0,6,4,"{""media"": 0.7352941176470588}"
62,Falha,0,0,8,"{""media"": 0.7352941176470588}"
68,Falha,0,0,4,"{""media"": 0.7352941176470588}"
69,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
70,Falha,0,0,4,"{""media"": 0.7352941176470588}"
78,Falha,0,0,4,"{""media"": 0.7352941176470588}"
80,Falha,1,0,10,"{""media"": 0.7352941176470588}"
93,Sucesso,2,0,6,"{""media"": 0.7479196556671447}"
103,Falha,0,0,4,"{""media"": 0.7352941176470588}"
104,Falha,1,0,10,"{""media"": 0.7352941176470588}"
106,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
108,Falha,0,54,4,"{""media"": 0.7352941176470588}"
112,Falha,0,0,8,"{""media"": 0.7352941176470588}"
116,Falha,0,0,4,"{""media"": 0.7352941176470588}"
119,Falha,0,6,10,"{""media"": 0.7352941176470588}"
136,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
140,Falha,0,6,4,"{""media"": 0.7352941176470588}"
146,Falha,0,22,4,"{""media"": 0.7352941176470588}"
150,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
151,Falha,0,6,6,"{""media"": 0.7352941176470588}"
168,Falha,0,54,8,"{""media"": 0.7352941176470588}"
173,Falha,0,6,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
174,Falha,0,54,4,"{""media"": 0.7352941176470588}"
176,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
178,Falha,0,22,6,"{""media"": 0.7352941176470588}"
184,Falha,2,0,14,"{""media"": 0.745342419894787}"
186,Falha,0,22,4,"{""media"": 0.7352941176470588}"
188,Falha,0,22,4,"{""media"": 0.7352941176470588}"
193,Falha,0,6,4,"{""media"": 0.7352941176470588}"
198,Falha,0,6,4,"{""media"": 0.7352941176470588}"
205,Sucesso,2,0,6,"{""media"": 0.7479196556671447}"
206,Falha,0,22,10,"{""media"": 0.7352941176470588}"
208,Falha,0,22,22,"{""media"": 0.7352941176470588}"
214,Falha,0,54,6,"{""media"": 0.7352941176470588}"
216,Falha,0,0,4,"{""media"": 0.7352941176470588}"
217,Sucesso,2,0,6,"{""media"": 0.7479196556671447}"
