Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,3,0,6,"{""media"": 0.7604887729072174}"
2,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
3,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
4,Falha,2,0,6,"{""media"": 0.7280109890109889}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,1,0,4,"{""media"": 0.6923076923076923}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,3,0,6,"{""media"": 0.7604887729072174}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Falha,1,0,4,"{""media"": 0.6204379562043796}"
11,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
12,Falha,3,0,6,"{""media"": 0.7604887729072174}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Falha,1,0,4,"{""media"": 0.6923076923076923}"
15,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
16,Falha,1,0,4,"{""media"": 0.6923076923076923}"
17,Falha,2,0,6,"{""media"": 0.7280109890109889}"
18,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
19,Falha,1,0,4,"{""media"": 0.6204379562043796}"
20,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
21,Falha,1,0,4,"{""media"": 0.6923076923076923}"
22,Falha,1,0,4,"{""media"": 0.6923076923076923}"
23,Falha,1,0,4,"{""media"": 0.6923076923076923}"
24,Falha,1,0,4,"{""media"": 0.6923076923076923}"
25,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
26,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
27,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
28,Falha,1,0,4,"{""media"": 0.6923076923076923}"
29,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
30,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
31,Falha,1,0,4,"{""media"": 0.6923076923076923}"
32,Falha,6,0,14,"{""media"": 0.6200892777815848}"
33,Falha,2,0,6,"{""media"": 0.7280109890109889}"
34,Falha,1,0,4,"{""media"": 0.6204379562043796}"
35,Falha,1,0,4,"{""media"": 0.6923076923076923}"
36,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
37,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
38,Falha,2,0,6,"{""media"": 0.7280109890109889}"
39,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
40,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Falha,2,0,6,"{""media"": 0.7280109890109889}"
42,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
43,Falha,3,0,6,"{""media"": 0.7604887729072174}"
44,Falha,2,0,6,"{""media"": 0.6232970165941487}"
45,Falha,1,0,4,"{""media"": 0.6923076923076923}"
46,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
47,Falha,2,0,6,"{""media"": 0.7280109890109889}"
48,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
49,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
50,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
51,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
52,Falha,1,0,4,"{""media"": 0.6923076923076923}"
53,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
54,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
55,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
56,Falha,1,0,4,"{""media"": 0.6923076923076923}"
57,Falha,2,0,6,"{""media"": 0.7280109890109889}"
58,Falha,3,0,6,"{""media"": 0.7604887729072174}"
59,Falha,4,0,10,"{""media"": 0.6236377038762407}"
60,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
61,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
62,Falha,1,0,4,"{""media"": 0.6923076923076923}"
63,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
64,Falha,2,0,6,"{""media"": 0.7280109890109889}"
65,Falha,3,0,6,"{""media"": 0.7604887729072174}"
66,Falha,3,0,6,"{""media"": 0.7604887729072174}"
67,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
68,Falha,2,0,6,"{""media"": 0.7280109890109889}"
69,Falha,1,0,4,"{""media"": 0.6204379562043796}"
70,Falha,3,0,6,"{""media"": 0.7604887729072174}"
71,Falha,5,0,12,"{""media"": 0.6221892532607625}"
72,Falha,2,0,6,"{""media"": 0.7280109890109889}"
73,Falha,3,0,6,"{""media"": 0.7604887729072174}"
