Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,8,"{""media"": 0.6923076923076922}"
2,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
3,Falha,1,0,10,"{""media"": 0.6923076923076923}"
4,Falha,0,0,4,"{""media"": 0.6923076923076923}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,0,4086,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
7,Falha,0,4086,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,0,4086,8,"{""media"": 0.6204379562043796}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Falha,2,0,14,"{""media"": 0.7371054718477398}"
11,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
12,Falha,0,0,4,"{""media"": 0.6923076923076923}"
13,Sucesso,3,0,14,"{""media"": 0.7686484349902631}"
14,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
15,Falha,0,4086,8,"{""media"": 0.6204379562043796}"
16,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
17,Falha,0,0,6,"{""media"": 0.6923076923076923}"
18,Falha,0,4086,4,"{""media"": 0.6204379562043796}"
19,Falha,0,4086,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
20,Falha,0,4086,8,"{""media"": 0.6204379562043796}"
21,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
22,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
23,Sucesso,3,0,14,"{""media"": 0.7686484349902631}"
24,Falha,0,0,4,"{""media"": 0.6923076923076923}"
25,Falha,0,0,6,"{""media"": 0.6923076923076923}"
26,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
27,Falha,0,0,6,"{""media"": 0.6923076923076923}"
28,Falha,0,4086,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
29,Falha,0,0,4,"{""media"": 0.6923076923076923}"
30,Falha,0,4086,4,"{""media"": 0.6204379562043796}"
31,Falha,0,0,4,"{""media"": 0.6923076923076923}"
32,Falha,0,0,6,"{""media"": 0.6923076923076923}"
33,Falha,0,0,4,"{""media"": 0.6923076923076923}"
34,Falha,0,0,4,"{""media"": 0.6923076923076923}"
35,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
36,Falha,0,0,6,"{""media"": 0.6923076923076923}"
37,Falha,0,4086,6,"{""media"": 0.6204379562043796}"
38,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
39,Falha,0,0,4,"{""media"": 0.6923076923076923}"
40,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
42,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
43,Falha,0,0,4,"{""media"": 0.6923076923076923}"
44,Falha,0,4086,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
45,Falha,0,4086,6,"{""media"": 0.6204379562043796}"
46,Falha,0,0,4,"{""media"": 0.6923076923076923}"
47,Falha,0,0,6,"{""media"": 0.6923076923076923}"
48,Falha,0,4086,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
49,Falha,0,4086,6,"{""media"": 0.6204379562043796}"
50,Falha,0,0,4,"{""media"": 0.6923076923076923}"
51,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
52,Falha,0,0,6,"{""media"": 0.6923076923076923}"
53,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
54,Falha,0,0,6,"{""media"": 0.6923076923076923}"
55,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
56,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
57,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
58,Falha,0,4086,4,"{""media"": 0.6204379562043796}"
59,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
60,Falha,0,0,6,"{""media"": 0.6923076923076923}"
61,Falha,0,0,4,"{""media"": 0.6923076923076923}"
62,Falha,0,0,4,"{""media"": 0.6923076923076923}"
63,Falha,0,4086,10,"{""media"": 0.6204379562043796}"
64,Falha,0,0,6,"{""media"": 0.6923076923076923}"
65,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
66,Falha,0,0,6,"{""media"": 0.6923076923076923}"
67,Falha,0,0,4,"{""media"": 0.6923076923076923}"
68,Falha,0,0,4,"{""media"": 0.6923076923076923}"
69,Falha,0,4086,12,"{""media"": 0.6204379562043796}"
70,Sucesso,3,0,14,"{""media"": 0.7686484349902631}"
