Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
3,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
4,Falha,0,0,4,"{""media"": 0.6923076923076923}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,0,0,4,"{""media"": 0.6923076923076923}"
7,Falha,0,0,6,"{""media"": 0.6923076923076923}"
8,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
11,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
12,Falha,0,0,6,"{""media"": 0.6923076923076923}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
15,Falha,0,0,4,"{""media"": 0.6923076923076923}"
16,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
17,Falha,0,0,8,"{""media"": 0.6923076923076922}"
18,Falha,0,0,6,"{""media"": 0.6923076923076923}"
19,Falha,0,0,4,"{""media"": 0.6923076923076923}"
20,Falha,0,0,8,"{""media"": 0.6923076923076922}"
21,Falha,0,0,4,"{""media"": 0.6923076923076923}"
22,Sucesso,3,0,14,"{""media"": 0.7686484349902631}"
23,Falha,0,0,8,"{""media"": 0.6923076923076922}"
24,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
26,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
28,Sucesso,3,0,14,"{""media"": 0.7686484349902631}"
29,Falha,0,0,4,"{""media"": 0.6923076923076923}"
30,Falha,0,0,6,"{""media"": 0.6923076923076923}"
31,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
34,Falha,1,0,12,"{""media"": 0.7208564631245044}"
35,Falha,0,0,4,"{""media"": 0.6923076923076923}"
37,Falha,0,0,4,"{""media"": 0.6923076923076923}"
38,Falha,0,0,4,"{""media"": 0.6923076923076923}"
40,Falha,0,0,4,"{""media"": 0.6923076923076923}"
42,Falha,0,0,8,"{""media"": 0.6923076923076922}"
43,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
44,Falha,0,0,8,"{""media"": 0.6923076923076922}"
45,Falha,0,0,4,"{""media"": 0.6923076923076923}"
46,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
48,Falha,0,0,6,"{""media"": 0.6923076923076923}"
52,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
53,Falha,0,0,8,"{""media"": 0.6923076923076922}"
54,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
55,Falha,0,0,4,"{""media"": 0.6923076923076923}"
57,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
58,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
59,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
61,Falha,0,0,4,"{""media"": 0.6923076923076923}"
62,Falha,0,0,6,"{""media"": 0.6923076923076923}"
63,Falha,0,0,6,"{""media"": 0.6923076923076923}"
64,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
66,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
67,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
68,Falha,0,0,4,"{""media"": 0.6923076923076923}"
69,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
71,Falha,0,0,6,"{""media"": 0.6923076923076923}"
72,Falha,0,0,4,"{""media"": 0.6923076923076923}"
73,Falha,0,0,4,"{""media"": 0.6923076923076923}"
74,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
75,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
76,Falha,0,0,8,"{""media"": 0.6923076923076922}"
77,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
79,Falha,0,0,4,"{""media"": 0.6923076923076923}"
80,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
81,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
83,Falha,0,0,4,"{""media"": 0.6923076923076923}"
84,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
87,Falha,0,0,8,"{""media"": 0.6923076923076922}"
88,Falha,0,0,4,"{""media"": 0.6923076923076923}"
90,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
