Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
5,Falha,1,0,4,"{""media"": 0.6204379562043796}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
11,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
15,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
19,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
20,Falha,1,0,4,"{""media"": 0.6204379562043796}"
48,Falha,4,0,10,"{""media"": 0.6236377038762407}"
50,Falha,1,0,4,"{""media"": 0.6204379562043796}"
57,Falha,1,0,4,"{""media"": 0.6204379562043796}"
58,Falha,7,0,16,"{""media"": 0.6175292595314612}"
68,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
72,Falha,1,0,4,"{""media"": 0.6204379562043796}"
74,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
78,Falha,3,0,8,"{""media"": 0.624149549909614}"
79,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
83,Falha,2,0,6,"{""media"": 0.6232970165941487}"
92,Falha,2,0,6,"{""media"": 0.6232970165941487}"
95,Falha,1,0,4,"{""media"": 0.6204379562043796}"
96,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
97,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
101,Falha,4,0,10,"{""media"": 0.6236377038762407}"
104,Falha,2,0,6,"{""media"": 0.6232970165941487}"
108,Falha,1,0,4,"{""media"": 0.6204379562043796}"
113,Falha,8,0,16,"{""media"": 0.6153899381188259}"
118,Falha,2,0,6,"{""media"": 0.6232970165941487}"
121,Falha,8,0,16,"{""media"": 0.6153899381188259}"
123,Falha,1,0,4,"{""media"": 0.6204379562043796}"
128,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
131,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
132,Falha,2,0,6,"{""media"": 0.6232970165941487}"
135,Falha,1,0,4,"{""media"": 0.6204379562043796}"
137,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
139,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
145,Falha,1,0,4,"{""media"": 0.6204379562043796}"
147,Falha,3,0,8,"{""media"": 0.624149549909614}"
150,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
153,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
155,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
156,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
157,Falha,1,0,4,"{""media"": 0.6204379562043796}"
161,Falha,1,0,4,"{""media"": 0.6204379562043796}"
162,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
165,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
167,Falha,1,0,4,"{""media"": 0.6204379562043796}"
170,Falha,2,0,6,"{""media"": 0.6232970165941487}"
173,Falha,2,0,6,"{""media"": 0.6232970165941487}"
177,Falha,2,0,6,"{""media"": 0.6232970165941487}"
180,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
183,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
186,Falha,1,0,4,"{""media"": 0.6204379562043796}"
187,Falha,1,0,4,"{""media"": 0.6204379562043796}"
188,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
189,Falha,1,0,4,"{""media"": 0.6204379562043796}"
191,Falha,1,0,4,"{""media"": 0.6204379562043796}"
194,Falha,2,0,6,"{""media"": 0.6232970165941487}"
204,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
207,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
211,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
212,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
214,Falha,2,0,6,"{""media"": 0.6232970165941487}"
220,Falha,1,0,4,"{""media"": 0.6204379562043796}"
221,Falha,3,0,8,"{""media"": 0.624149549909614}"
223,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
224,Falha,5,0,12,"{""media"": 0.6221892532607625}"
228,Falha,4,0,10,"{""media"": 0.6236377038762407}"
229,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
233,Falha,1,0,4,"{""media"": 0.6204379562043796}"
234,Falha,7,0,16,"{""media"": 0.6175292595314612}"
237,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
251,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
265,Falha,2,0,6,"{""media"": 0.6232970165941487}"
270,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
275,Falha,1,0,4,"{""media"": 0.6204379562043796}"
282,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
284,Falha,1,0,4,"{""media"": 0.6204379562043796}"
286,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
298,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
304,Falha,3,0,8,"{""media"": 0.624149549909614}"
305,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
311,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
318,Falha,1,0,4,"{""media"": 0.6204379562043796}"
342,Falha,5,0,12,"{""media"": 0.6221892532607625}"
354,Falha,1,0,4,"{""media"": 0.6204379562043796}"
361,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
362,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
368,Falha,6,0,14,"{""media"": 0.6200892777815848}"
374,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
375,Falha,1,0,4,"{""media"": 0.6204379562043796}"
376,Falha,4,0,10,"{""media"": 0.6236377038762407}"
381,Falha,1,0,4,"{""media"": 0.6204379562043796}"
382,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
383,Falha,6,0,14,"{""media"": 0.6200892777815848}"
386,Falha,1,0,4,"{""media"": 0.6204379562043796}"
395,Falha,2,0,6,"{""media"": 0.6232970165941487}"
402,Falha,1,0,4,"{""media"": 0.6204379562043796}"
406,Falha,1,0,4,"{""media"": 0.6204379562043796}"
409,Falha,1,0,4,"{""media"": 0.6204379562043796}"
411,Falha,3,0,8,"{""media"": 0.624149549909614}"
412,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
