Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
10,Falha,0,246,6,"{""media"": 0.6204379562043796}"
12,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
13,Falha,0,246,10,"{""media"": 0.6204379562043796}"
21,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
32,Falha,0,246,4,"{""media"": 0.6204379562043796}"
35,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
48,Falha,0,246,14,"{""media"": 0.6204379562043796}"
59,Falha,0,246,10,"{""media"": 0.6204379562043796}"
60,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
62,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
63,Falha,0,246,8,"{""media"": 0.6204379562043796}"
68,Falha,0,246,4,"{""media"": 0.6204379562043796}"
73,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
82,Falha,0,246,4,"{""media"": 0.6204379562043796}"
86,Falha,0,246,8,"{""media"": 0.6204379562043796}"
87,Falha,0,246,4,"{""media"": 0.6204379562043796}"
89,Falha,0,246,6,"{""media"": 0.6204379562043796}"
90,Falha,0,246,4,"{""media"": 0.6204379562043796}"
91,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
98,Falha,0,246,4,"{""media"": 0.6204379562043796}"
109,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
122,Falha,0,246,10,"{""media"": 0.6204379562043796}"
123,Falha,0,246,14,"{""media"": 0.6204379562043796}"
128,Falha,0,246,10,"{""media"": 0.6204379562043796}"
133,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
141,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
142,Falha,0,246,8,"{""media"": 0.6204379562043796}"
144,Falha,0,246,12,"{""media"": 0.6204379562043796}"
146,Falha,0,246,4,"{""media"": 0.6204379562043796}"
147,Falha,0,246,4,"{""media"": 0.6204379562043796}"
149,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
154,Falha,0,246,6,"{""media"": 0.6204379562043796}"
156,Falha,0,246,4,"{""media"": 0.6204379562043796}"
157,Falha,0,246,10,"{""media"": 0.6204379562043796}"
158,Falha,0,246,4,"{""media"": 0.6204379562043796}"
160,Falha,0,246,4,"{""media"": 0.6204379562043796}"
173,Falha,0,246,6,"{""media"": 0.6204379562043796}"
183,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
184,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
185,Falha,0,246,6,"{""media"": 0.6204379562043796}"
187,Falha,0,246,6,"{""media"": 0.6204379562043796}"
195,Falha,0,246,6,"{""media"": 0.6204379562043796}"
198,Falha,0,246,4,"{""media"": 0.6204379562043796}"
208,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
210,Falha,0,246,6,"{""media"": 0.6204379562043796}"
211,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
212,Falha,0,246,8,"{""media"": 0.6204379562043796}"
216,Falha,0,246,10,"{""media"": 0.6204379562043796}"
217,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
218,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
