Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
3,Falha,1,0,4,"{""media"": 0.8448275862068965}"
4,Falha,1,0,4,"{""media"": 0.8448275862068965}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
7,Falha,5,0,10,"{""media"": 0.7450203701958037}"
8,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
11,Falha,2,0,6,"{""media"": 0.7409945164506481}"
12,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Falha,3,0,8,"{""media"": 0.7435883094381097}"
15,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
16,Falha,1,0,4,"{""media"": 0.8448275862068965}"
17,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
18,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
