Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
2,Falha,0,0,4,"{""media"": 0.8448275862068965}"
3,Falha,0,0,4,"{""media"": 0.8448275862068965}"
4,Falha,0,0,4,"{""media"": 0.8448275862068965}"
5,Falha,1,0,6,"{""media"": 0.8448275862068965}"
6,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
7,Falha,0,0,4,"{""media"": 0.8448275862068965}"
8,Falha,0,22,6,"{""media"": 0.7352941176470588}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
11,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
