Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
3,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
4,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,1,0,6,"{""media"": 0.8448275862068965}"
10,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
13,Falha,0,0,4,"{""media"": 0.8448275862068965}"
14,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
15,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
