Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
3,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,5,0,10,"{""media"": 0.7450203701958037}"
12,Falha,5,0,10,"{""media"": 0.7450203701958037}"
21,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
28,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
32,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
36,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
39,Falha,1,0,4,"{""media"": 0.7352941176470588}"
44,Falha,5,0,10,"{""media"": 0.7450203701958037}"
47,Falha,5,0,10,"{""media"": 0.7450203701958037}"
48,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
51,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
60,Falha,5,0,10,"{""media"": 0.7450203701958037}"
61,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
66,Falha,1,0,4,"{""media"": 0.7352941176470588}"
68,Falha,3,0,8,"{""media"": 0.7435883094381097}"
73,Falha,4,0,10,"{""media"": 0.7441996812489833}"
76,Falha,4,0,10,"{""media"": 0.7441996812489833}"
78,Falha,2,0,6,"{""media"": 0.7409945164506481}"
80,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
82,Falha,3,0,8,"{""media"": 0.7435883094381097}"
85,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
86,Falha,1,0,4,"{""media"": 0.7352941176470588}"
87,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
93,Falha,5,0,10,"{""media"": 0.7450203701958037}"
95,Falha,5,0,10,"{""media"": 0.7450203701958037}"
101,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
104,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
107,Falha,4,0,10,"{""media"": 0.7441996812489833}"
113,Falha,4,0,10,"{""media"": 0.7441996812489833}"
115,Falha,2,0,6,"{""media"": 0.7409945164506481}"
121,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
126,Falha,3,0,8,"{""media"": 0.7435883094381097}"
127,Falha,2,0,6,"{""media"": 0.7409945164506481}"
129,Falha,1,0,4,"{""media"": 0.7352941176470588}"
133,Falha,1,0,4,"{""media"": 0.7352941176470588}"
135,Falha,2,0,6,"{""media"": 0.7409945164506481}"
140,Falha,1,0,4,"{""media"": 0.7352941176470588}"
141,Falha,4,0,10,"{""media"": 0.7441996812489833}"
143,Falha,1,0,4,"{""media"": 0.7352941176470588}"
144,Falha,5,0,10,"{""media"": 0.7450203701958037}"
146,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
147,Falha,5,0,10,"{""media"": 0.7450203701958037}"
148,Falha,1,0,4,"{""media"": 0.7352941176470588}"
149,Falha,2,0,6,"{""media"": 0.7409945164506481}"
159,Falha,5,0,10,"{""media"": 0.7450203701958037}"
162,Falha,2,0,6,"{""media"": 0.7409945164506481}"
165,Falha,4,0,10,"{""media"": 0.7441996812489833}"
171,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
177,Falha,2,0,6,"{""media"": 0.7409945164506481}"
178,Falha,1,0,4,"{""media"": 0.7352941176470588}"
180,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
183,Falha,1,0,4,"{""media"": 0.7352941176470588}"
185,Falha,3,0,8,"{""media"": 0.7435883094381097}"
186,Falha,1,0,4,"{""media"": 0.7352941176470588}"
187,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
189,Falha,1,0,4,"{""media"": 0.7352941176470588}"
204,Falha,1,0,4,"{""media"": 0.7352941176470588}"
211,Falha,3,0,8,"{""media"": 0.7435883094381097}"
217,Falha,2,0,6,"{""media"": 0.7409945164506481}"
221,Falha,2,0,6,"{""media"": 0.7409945164506481}"
223,Falha,1,0,4,"{""media"": 0.7352941176470588}"
230,Falha,3,0,8,"{""media"": 0.7435883094381097}"
244,Falha,1,0,4,"{""media"": 0.7352941176470588}"
246,Falha,2,0,6,"{""media"": 0.7409945164506481}"
248,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
252,Falha,4,0,10,"{""media"": 0.7441996812489833}"
253,Falha,5,0,10,"{""media"": 0.7450203701958037}"
256,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
257,Falha,5,0,10,"{""media"": 0.7450203701958037}"
259,Falha,1,0,4,"{""media"": 0.7352941176470588}"
260,Falha,5,0,10,"{""media"": 0.7450203701958037}"
262,Falha,5,0,10,"{""media"": 0.7450203701958037}"
264,Falha,4,0,10,"{""media"": 0.7441996812489833}"
270,Falha,1,0,4,"{""media"": 0.7352941176470588}"
274,Falha,1,0,4,"{""media"": 0.7352941176470588}"
277,Falha,5,0,10,"{""media"": 0.7450203701958037}"
285,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
292,Falha,1,0,4,"{""media"": 0.7352941176470588}"
299,Falha,1,0,4,"{""media"": 0.7352941176470588}"
300,Falha,5,0,10,"{""media"": 0.7450203701958037}"
305,Falha,3,0,8,"{""media"": 0.7435883094381097}"
306,Falha,3,0,8,"{""media"": 0.7435883094381097}"
308,Falha,4,0,10,"{""media"": 0.7441996812489833}"
314,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
323,Falha,1,0,4,"{""media"": 0.7352941176470588}"
325,Falha,4,0,10,"{""media"": 0.7441996812489833}"
328,Falha,2,0,6,"{""media"": 0.7409945164506481}"
330,Falha,1,0,4,"{""media"": 0.7352941176470588}"
331,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
334,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
341,Falha,1,0,4,"{""media"": 0.7352941176470588}"
347,Falha,4,0,10,"{""media"": 0.7441996812489833}"
350,Falha,2,0,6,"{""media"": 0.7409945164506481}"
357,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
359,Falha,3,0,8,"{""media"": 0.7435883094381097}"
364,Falha,2,0,6,"{""media"": 0.7409945164506481}"
