Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
3,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,0,22,6,"{""media"": 0.7352941176470588}"
7,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,0,22,12,"{""media"": 0.7352941176470588}"
14,Falha,0,22,4,"{""media"": 0.7352941176470588}"
18,Falha,0,22,8,"{""media"": 0.7352941176470588}"
19,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
21,Falha,0,22,10,"{""media"": 0.7352941176470588}"
28,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
31,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
36,Falha,0,22,8,"{""media"": 0.7352941176470588}"
37,Falha,0,22,10,"{""media"": 0.7352941176470588}"
40,Falha,0,22,8,"{""media"": 0.7352941176470588}"
45,Falha,0,22,4,"{""media"": 0.7352941176470588}"
55,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
57,Falha,0,22,6,"{""media"": 0.7352941176470588}"
61,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
65,Falha,0,22,10,"{""media"": 0.7352941176470588}"
67,Falha,0,22,4,"{""media"": 0.7352941176470588}"
68,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
77,Falha,0,22,16,"{""media"": 0.7352941176470588}"
86,Falha,0,22,6,"{""media"": 0.7352941176470588}"
88,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
91,Falha,0,22,28,"{""media"": 0.7352941176470588}"
95,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
98,Falha,0,22,16,"{""media"": 0.7352941176470588}"
102,Falha,0,22,8,"{""media"": 0.7352941176470588}"
103,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
104,Falha,0,22,32,"{""media"": 0.7352941176470588}"
109,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
113,Falha,0,22,12,"{""media"": 0.7352941176470588}"
122,Falha,0,22,4,"{""media"": 0.7352941176470588}"
123,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
135,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
137,Falha,0,22,6,"{""media"": 0.7352941176470588}"
141,Falha,0,22,4,"{""media"": 0.7352941176470588}"
151,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
160,Falha,0,22,10,"{""media"": 0.7352941176470588}"
163,Falha,0,22,6,"{""media"": 0.7352941176470588}"
165,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
166,Falha,0,22,4,"{""media"": 0.7352941176470588}"
169,Falha,0,22,10,"{""media"": 0.7352941176470588}"
170,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
171,Falha,0,22,6,"{""media"": 0.7352941176470588}"
173,Falha,0,22,4,"{""media"": 0.7352941176470588}"
176,Falha,0,22,10,"{""media"": 0.7352941176470588}"
178,Falha,0,22,16,"{""media"": 0.7352941176470588}"
182,Falha,0,22,8,"{""media"": 0.7352941176470588}"
183,Falha,0,22,18,"{""media"": 0.7352941176470588}"
186,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
187,Falha,0,22,6,"{""media"": 0.7352941176470588}"
188,Falha,0,22,4,"{""media"": 0.7352941176470588}"
192,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
204,Falha,0,22,4,"{""media"": 0.7352941176470588}"
210,Falha,0,22,6,"{""media"": 0.7352941176470588}"
213,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
215,Falha,0,22,30,"{""media"": 0.7352941176470588}"
216,Falha,0,22,18,"{""media"": 0.7352941176470588}"
221,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
222,Falha,0,22,4,"{""media"": 0.7352941176470588}"
224,Falha,0,22,12,"{""media"": 0.7352941176470588}"
226,Falha,0,22,12,"{""media"": 0.7352941176470588}"
