Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
3,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
4,Falha,2,0,4,"{""media"": 0.8859273066169617}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,2,0,4,"{""media"": 0.744765702891326}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,2,0,6,"{""media"": 0.744765702891326}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
