Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
2,Falha,0,22,14,"{""media"": 0.7352941176470588}"
3,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
4,Falha,0,6,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
9,Falha,0,0,4,"{""media"": 0.8448275862068965}"
10,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
