Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Falha,1,0,4,"{""media"": 0.8448275862068965}"
3,Falha,2,0,6,"{""media"": 0.7409945164506481}"
4,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
9,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
10,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
11,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
12,Falha,1,0,4,"{""media"": 0.8448275862068965}"
13,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
14,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
15,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
16,Falha,1,0,4,"{""media"": 0.8448275862068965}"
17,Falha,2,0,4,"{""media"": 0.744765702891326}"
18,Falha,2,0,6,"{""media"": 0.7409945164506481}"
19,Falha,1,0,4,"{""media"": 0.8448275862068965}"
20,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
21,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
22,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
23,Falha,2,0,4,"{""media"": 0.744765702891326}"
24,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
25,Falha,4,0,10,"{""media"": 0.7441996812489833}"
26,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
27,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
28,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
29,Falha,1,0,4,"{""media"": 0.8448275862068965}"
30,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
31,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
32,Falha,1,0,4,"{""media"": 0.8448275862068965}"
33,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
34,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
35,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
36,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
37,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
38,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
39,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
40,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
42,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
43,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
44,Falha,2,0,6,"{""media"": 0.7409945164506481}"
45,Falha,2,0,4,"{""media"": 0.8859273066169617}"
46,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
47,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
48,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
49,Falha,3,0,8,"{""media"": 0.7435883094381097}"
50,Falha,1,0,4,"{""media"": 0.8448275862068965}"
51,Falha,1,0,4,"{""media"": 0.8448275862068965}"
52,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
53,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
54,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
55,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
56,Falha,1,0,4,"{""media"": 0.8448275862068965}"
57,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
58,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
59,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
60,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
61,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
62,Falha,2,0,6,"{""media"": 0.7409945164506481}"
63,Sucesso,2,0,4,"{""media"": 0.8859273066169617}"
64,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
65,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
66,Falha,2,0,4,"{""media"": 0.8859273066169617}"
67,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
68,Falha,1,0,4,"{""media"": 0.7352941176470588}"
69,Sucesso,2,0,4,"{""media"": 0.744765702891326}"
70,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
71,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
72,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
73,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
74,Falha,1,0,4,"{""media"": 0.8448275862068965}"
75,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
76,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
