Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
2,Falha,0,0,4,"{""media"": 0.8448275862068965}"
3,Falha,1,0,6,"{""media"": 0.8448275862068965}"
4,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
5,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
6,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
7,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,0,54,8,"{""media"": 0.7352941176470588}"
9,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
10,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
11,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
12,Falha,0,0,4,"{""media"": 0.8448275862068965}"
13,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
14,Falha,0,118,10,"{""media"": 0.7352941176470588}"
15,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
16,Falha,0,0,4,"{""media"": 0.8448275862068965}"
17,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
18,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
19,Falha,0,0,4,"{""media"": 0.8448275862068965}"
20,Falha,0,118,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
21,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
22,Falha,0,0,4,"{""media"": 0.8448275862068965}"
23,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
24,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
25,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
26,Falha,0,0,4,"{""media"": 0.7352941176470588}"
27,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
28,Falha,0,6,4,"{""media"": 0.7352941176470588}"
29,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
30,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
31,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
32,Falha,0,0,4,"{""media"": 0.7352941176470588}"
33,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
34,Falha,0,0,4,"{""media"": 0.8448275862068965}"
35,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
36,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
37,Falha,0,22,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
38,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
39,Falha,1,0,6,"{""media"": 0.8448275862068965}"
40,Falha,0,54,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
41,Falha,0,0,4,"{""media"": 0.8448275862068965}"
42,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
43,Falha,0,502,12,"{""media"": 0.7352941176470588}"
44,Falha,0,0,4,"{""media"": 0.8448275862068965}"
45,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
46,Falha,0,0,8,"{""media"": 0.7352941176470588}"
47,Falha,1,0,6,"{""media"": 0.8448275862068965}"
48,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
49,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
50,Falha,0,54,16,"{""media"": 0.7352941176470588}"
51,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
52,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
53,Falha,0,22,4,"{""media"": 0.7352941176470588}"
54,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
55,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
56,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
57,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
58,Falha,0,0,4,"{""media"": 0.8448275862068965}"
59,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
60,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
61,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
62,Falha,0,6,4,"{""media"": 0.7352941176470588}"
63,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
64,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
65,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
66,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
67,Falha,0,0,4,"{""media"": 0.8448275862068965}"
68,Falha,0,0,4,"{""media"": 0.8448275862068965}"
69,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
70,Falha,0,0,4,"{""media"": 0.8448275862068965}"
71,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
72,Falha,1,0,6,"{""media"": 0.8448275862068965}"
73,Falha,0,6,4,"{""media"": 0.7352941176470588}"
74,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
75,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
76,Falha,1,0,6,"{""media"": 0.8448275862068965}"
77,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
78,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
79,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
80,Falha,0,246,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
81,Sucesso,2,0,6,"{""media"": 0.8856734002056182}"
82,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
83,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
84,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
85,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
86,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
87,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
88,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
89,Falha,1,0,6,"{""media"": 0.8448275862068965}"
90,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
91,Falha,1,0,10,"{""media"": 0.7352941176470588}"
92,Falha,0,54,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
93,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
94,Sucesso,1,0,2,"{""media"": 0.8448275862068965}"
95,Falha,0,0,4,"{""media"": 0.8448275862068965}"
96,Falha,0,0,4,"{""media"": 0.8448275862068965}"
97,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
98,Falha,0,0,4,"{""media"": 0.7352941176470588}"
99,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
100,Falha,0,54,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
